Date,Stock Ticker,Security Description,Shares/Par (Full),Price (Base),Traded Market Value (Base),Portfolio Weight %,Asset Group
2022-3-08,TSLA,TESLA INC,2548.00,824.40,2100571.20,9.97,S
2022-3-08,MSFT,MICROSOFT CORP,3726.00,275.85,1027817.10,4.88,S
2022-3-08,NVDA,NVIDIA CORP,4649.00,215.14,1000185.86,4.75,S
2022-3-08,MGM,MGM RESORTS INTERNATIONAL,25189.00,37.63,947862.07,4.50,S
2022-3-08,AAPL,APPLE INC,5830.00,157.44,917875.20,4.36,S
2022-3-08,LIT,GLOBAL X LITHIUM & BATTERY T,12641.00,67.86,857818.26,4.07,MF
2022-3-08,BX,BLACKSTONE INC,6962.00,108.62,756212.44,3.59,S
2022-3-08,LEN,LENNAR CORP-A,8652.00,83.75,724605.00,3.44,S
2022-3-08,HD,HOME DEPOT INC,2277.00,316.74,721216.98,3.42,S
2022-3-08,GOOG,ALPHABET INC-CL C,277.00,2545.57,705122.89,3.35,S
2022-3-08,IIPR,INNOVATIVE INDUSTRIAL PROPER,3551.00,182.68,648696.68,3.08,S
2022-3-08,MSOS,ADVISORSHARES PURE US CANN,30223.00,18.74,566379.02,2.69,MF
2022-3-08,NFLX,NETFLIX INC,1638.00,341.76,559802.88,2.66,S
2022-3-08,TMO,THERMO FISHER SCIENTIFIC INC,993.00,524.00,520332.00,2.47,S
2022-3-08,ZTS,ZOETIS INC,2803.00,181.39,508436.17,2.41,S
2022-3-08,PLD,PROLOGIS INC,3008.00,146.99,442145.92,2.10,S
2022-3-08,SEDG,SOLAREDGE TECHNOLOGIES INC,1314.00,328.91,432187.74,2.05,S
2022-3-08,ASML,ASML HOLDING NV-NY REG SHS,754.00,573.04,432072.16,2.05,FS
2022-3-08,SIVB,SVB FINANCIAL GROUP,806.00,516.99,416693.94,1.98,S
2022-3-08,SCHW,SCHWAB (CHARLES) CORP,5422.00,75.69,410391.18,1.95,S
2022-3-08,NKE,NIKE INC -CL B,3312.00,121.21,401447.52,1.91,S
2022-3-08,DIS,WALT DISNEY CO/THE,3038.00,131.75,400256.50,1.90,S
2022-3-08,WOOF,PETCO HEALTH AND WELLNESS CO,20163.00,19.11,385314.93,1.83,S
2022-3-08,MGP,MGM GROWTH PROPERTIES LLC-A,10000.00,36.47,364700.00,1.73,S
2022-3-08,GGPI,GORES GUGGENHEIM INC -CL A,32419.00,11.05,358229.95,1.70,S
2022-3-08,NEE,NEXTERA ENERGY INC,4230.00,81.95,346648.50,1.65,S
2022-3-08,COIN,COINBASE GLOBAL INC -CLASS A,2021.00,161.99,327381.79,1.55,S
2022-3-08,FLGT,FULGENT GENETICS INC,5906.00,54.65,322762.90,1.53,S
2022-3-08,AMZN,AMAZON.COM INC,117.00,2720.29,318273.93,1.51,S
2022-3-08,ELY,CALLAWAY GOLF COMPANY,14006.00,21.64,303089.84,1.44,S
2022-3-08,SPWR,SUNPOWER CORP,14242.00,20.66,294239.72,1.40,S
2022-3-08,RBLX,ROBLOX CORP -CLASS A,5241.00,41.91,219650.31,1.04,S
2022-3-08,ILMN,ILLUMINA INC,686.00,313.52,215074.72,1.02,S
2022-3-08,ABT,ABBOTT LABORATORIES,1849.00,116.11,214687.39,1.02,S
2022-3-08,SQ,BLOCK INC,1970.00,100.62,198221.40,0.94,S
2022-3-08,MRNA,MODERNA INC,1497.00,129.28,193532.16,0.92,S
2022-3-08,SBUX,STARBUCKS CORP,2000.00,84.00,168000.00,0.80,S
2022-3-08,FUV,ARCIMOTO INC,22692.00,7.12,161567.04,0.77,S
2022-3-08,TTWO,TAKE-TWO INTERACTIVE SOFTWRE,985.00,156.10,153758.50,0.73,S
2022-3-08,CCI,CROWN CASTLE INTL CORP,884.00,173.85,153683.40,0.73,S
2022-3-08,PFE,PFIZER INC,2958.00,47.44,140327.52,0.67,S
2022-3-08,MP,MP MATERIALS CORP,3000.00,43.77,131310.00,0.62,S
2022-3-08,EA,ELECTRONIC ARTS INC,985.00,122.67,120829.95,0.57,S
2022-3-08,SHOP,SHOPIFY INC - CLASS A,227.00,514.95,116893.65,0.56,FS
2022-3-08,CRWD,CROWDSTRIKE HOLDINGS INC - A,720.00,156.77,112874.40,0.54,S
2022-3-08,U,UNITY SOFTWARE INC,1279.00,81.08,103701.32,0.49,S
2022-3-08,BLACKROCKTREASURYTRUSTINSTL62,BLACKROCK TREASURY TRUST INSTL 62,137952.29,1.00,137952.29,0.66,MM
2022-3-08,CASH,CASH,3309.74,100.00,3309.74,0.02,CA
